candidate,route,fold,train_size,valid_size,mae,rmse,wape,r2,error_gt_10pct_rate
ElasticNet__unit,unit,3,187,46,304.75104516664453,425.94670096906833,0.08261926225183229,0.6869011187108265,0.3695652173913043
ElasticNet__unit,unit,4,187,46,373.4050986724706,457.1117895933806,0.10319480254650114,0.7139233850256398,0.43478260869565216
Huber__direct,direct,0,186,47,256.8714615098468,328.9337037927469,0.07345399402949439,0.7608051592806809,0.2553191489361702
Huber__direct,direct,1,186,47,325.4140412999182,533.8706485490212,0.09062379959870615,0.6895143397626415,0.2765957446808511
Huber__direct,direct,2,186,47,341.4418414081006,503.3015592300064,0.09128328917099102,0.8910261014085884,0.3404255319148936
Huber__direct,direct,3,187,46,289.9668698097062,455.1104495336014,0.07861121148264119,0.6425587975053715,0.1956521739130435
Huber__direct,direct,4,187,46,318.9731685443553,444.41537243169256,0.0881519113225578,0.7295944139703766,0.3695652173913043
Huber__unit,unit,0,186,47,254.49799576115456,318.88912906001997,0.07277528671841785,0.7751905897656394,0.3191489361702128
Huber__unit,unit,1,186,47,338.3135195683657,579.5210282981892,0.09421614530345167,0.6341459589908182,0.2978723404255319
Huber__unit,unit,2,186,47,369.49808863590954,534.2624063555664,0.09878402932101804,0.8772065593511181,0.3404255319148936
Huber__unit,unit,3,187,46,323.0155268701748,630.6203360094518,0.0875708383914075,0.3137111528186297,0.21739130434782608
Huber__unit,unit,4,187,46,322.88008014401987,438.39761483857325,0.08923163137064331,0.7368678716513848,0.3695652173913043
GAM__direct,direct,0,186,47,280.2749750654905,357.4151846434095,0.08014637447098436,0.7175893591562801,0.3617021276595745
GAM__direct,direct,1,186,47,399.05068324389293,695.6400554474601,0.11113069676883179,0.4728446481902919,0.3617021276595745
GAM__direct,direct,2,186,47,444.37213087634007,805.7406033651106,0.11880134419094676,0.7207093251502528,0.425531914893617
GAM__direct,direct,3,187,46,284.5059014181439,388.33405000062874,0.07713072048237328,0.7397552708483521,0.2608695652173913
GAM__direct,direct,4,187,46,308.1160045688268,412.2795200389617,0.08515140892809958,0.7672867899777414,0.30434782608695654
GAM__unit,unit,0,186,47,285.23723273168173,370.5492613794982,0.08156536295200427,0.6964522896448643,0.3829787234042553
GAM__unit,unit,1,186,47,390.9854726105811,665.2164171293198,0.10888463501551927,0.5179463501335861,0.3404255319148936
GAM__unit,unit,2,186,47,459.7875829091238,874.8716182796588,0.12292261169526603,0.6707281587605887,0.40425531914893614
GAM__unit,unit,3,187,46,294.14443319174956,410.3139700524201,0.07974376610422076,0.7094615565108331,0.2391304347826087
GAM__unit,unit,4,187,46,327.49720771800565,458.35550148269766,0.09050762778853742,0.7123645500871167,0.34782608695652173
GPR__direct,direct,0,186,47,244.8722455917961,323.297160379795,0.07002274351523932,0.7689325148422941,0.2553191489361702
GPR__direct,direct,1,186,47,298.5673226052754,408.99733958079116,0.0831473193425152,0.8177739656852283,0.2978723404255319
