optimizer,seed,best_objective,feasible_rate,unique_candidates,model,total_weight
random_search,6,2941.1007655964518,1.0,5000,LightGBM,69727.3
genetic_algorithm,6,2917.141108924191,1.0,3914,LightGBM,69727.3
random_search,7,2915.111637307718,1.0,5000,LightGBM,69727.3
genetic_algorithm,7,2896.3058667300047,1.0,3897,LightGBM,69727.3
random_search,8,2878.711692624305,1.0,5000,LightGBM,69727.3
genetic_algorithm,8,2807.223628558324,1.0,3936,LightGBM,69727.3
random_search,9,2951.260358078946,1.0,5000,LightGBM,69727.3
genetic_algorithm,9,2896.3058667300047,1.0,3824,LightGBM,69727.3
random_search,0,2659.4849455119465,1.0,5000,LightGBM,75272.75
genetic_algorithm,0,2548.261933120569,1.0,3924,LightGBM,75272.75
random_search,1,2652.4267836671784,1.0,5000,LightGBM,75272.75
genetic_algorithm,1,2548.261933120569,1.0,3928,LightGBM,75272.75
random_search,2,2659.550725169039,1.0,5000,LightGBM,75272.75
genetic_algorithm,2,2548.261933120569,1.0,3937,LightGBM,75272.75
random_search,3,2681.0504559605597,1.0,5000,LightGBM,75272.75
genetic_algorithm,3,2615.8369701941883,1.0,3921,LightGBM,75272.75
random_search,4,2686.770859398824,1.0,5000,LightGBM,75272.75
genetic_algorithm,4,2615.8369701941883,1.0,3918,LightGBM,75272.75
random_search,5,2677.9436400109203,1.0,5000,LightGBM,75272.75
genetic_algorithm,5,2548.261933120569,1.0,3925,LightGBM,75272.75
random_search,6,2656.1317606733032,1.0,5000,LightGBM,75272.75
genetic_algorithm,6,2615.8369701941883,1.0,3920,LightGBM,75272.75
random_search,7,2638.572373917561,1.0,5000,LightGBM,75272.75
genetic_algorithm,7,2548.261933120569,1.0,3920,LightGBM,75272.75
random_search,8,2680.621727218614,1.0,5000,LightGBM,75272.75
genetic_algorithm,8,2615.8369701941883,1.0,3861,LightGBM,75272.75
random_search,9,2675.0038540278883,1.0,5000,LightGBM,75272.75
genetic_algorithm,9,2615.8369701941883,1.0,3917,LightGBM,75272.75
random_search,0,2786.4238986828946,1.0,5000,LightGBM,81720.0
genetic_algorithm,0,2581.771518957398,1.0,3942,LightGBM,81720.0
random_search,1,2772.1461547223344,1.0,5000,LightGBM,81720.0
genetic_algorithm,1,2753.9995231474327,1.0,3921,LightGBM,81720.0
random_search,2,2797.667479373341,1.0,5000,LightGBM,81720.0
genetic_algorithm,2,2581.771518957398,1.0,3845,LightGBM,81720.0
random_search,3,2809.4079404901618,1.0,5000,LightGBM,81720.0
genetic_algorithm,3,2767.2467239030184,1.0,3933,LightGBM,81720.0
random_search,4,2774.512371882879,1.0,5000,LightGBM,81720.0
genetic_algorithm,4,2857.784284073928,1.0,3934,LightGBM,81720.0
random_search,5,2854.9132776622027,1.0,5000,LightGBM,81720.0
genetic_algorithm,5,2581.771518957398,1.0,3831,LightGBM,81720.0
random_search,6,2658.597785095606,1.0,5000,LightGBM,81720.0
genetic_algorithm,6,2581.771518957398,1.0,3894,LightGBM,81720.0
random_search,7,2697.755281700906,1.0,5000,LightGBM,81720.0
genetic_algorithm,7,2779.511753733513,1.0,3916,LightGBM,81720.0
random_search,8,2837.5216960242283,1.0,5000,LightGBM,81720.0
genetic_algorithm,8,2581.771518957398,1.0,3947,LightGBM,81720.0
random_search,9,2712.302835536917,1.0,5000,LightGBM,81720.0
genetic_algorithm,9,2767.2467239030184,1.0,3935,LightGBM,81720.0
random_search,0,3092.4753013640916,1.0,5000,LightGBM,87779.75
genetic_algorithm,0,3093.6884455443055,1.0,3911,LightGBM,87779.75
random_search,1,3037.6660059847327,1.0,5000,LightGBM,87779.75
genetic_algorithm,1,3093.6884455443055,1.0,3904,LightGBM,87779.75
random_search,2,3096.7870340968125,1.0,5000,LightGBM,87779.75
genetic_algorithm,2,3093.6884455443055,1.0,3894,LightGBM,87779.75
random_search,3,3010.3670456822724,1.0,5000,LightGBM,87779.75
genetic_algorithm,3,2890.397310194865,1.0,3933,LightGBM,87779.75
random_search,4,3054.4253930886903,1.0,5000,LightGBM,87779.75
genetic_algorithm,4,2863.041060208758,1.0,3925,LightGBM,87779.75
random_search,5,3056.3095046073868,1.0,5000,LightGBM,87779.75
genetic_algorithm,5,2863.041060208758,1.0,3900,LightGBM,87779.75
random_search,6,3027.949207253765,1.0,5000,LightGBM,87779.75
genetic_algorithm,6,2863.041060208758,1.0,3918,LightGBM,87779.75
